"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 27 14:03:00 CST 2021","Wed Jan 27 14:03:00 CST 2021","170","test","test_api","","","","调试运算新功能",""
"passed","Wed Jan 27 14:03:00 CST 2021","Wed Jan 27 14:03:00 CST 2021","65","test","test_api","","","","修改用户状态为2",""
"passed","Wed Jan 27 14:03:00 CST 2021","Wed Jan 27 14:03:00 CST 2021","199","test","test_api","","","","添加用户正常接口数据",""
"passed","Wed Jan 27 14:03:00 CST 2021","Wed Jan 27 14:03:00 CST 2021","170","test","test_api","","","","get请求查询用户数据列表",""
"passed","Wed Jan 27 14:03:00 CST 2021","Wed Jan 27 14:03:00 CST 2021","66","test","test_api","","","","修改用户状态接口",""
"failed","Wed Jan 27 14:03:00 CST 2021","Wed Jan 27 14:03:00 CST 2021","44","test","test_api","","","","调试运算新功能,从响应提取后运算",""
"passed","Wed Jan 27 14:03:00 CST 2021","Wed Jan 27 14:03:00 CST 2021","74","test","test_api","","","","删除用户zy7y",""
"passed","Wed Jan 27 14:02:59 CST 2021","Wed Jan 27 14:03:00 CST 2021","181","test","test_api","","","","post请求实现登录",""
"failed","Wed Jan 27 14:03:00 CST 2021","Wed Jan 27 14:03:00 CST 2021","54","test","test_api","","","","本地添加用户，测试数据库备份",""
"failed","Wed Jan 27 14:02:59 CST 2021","Wed Jan 27 14:02:59 CST 2021","111","test","test_api","","","","get请求实现登录",""
"failed","Wed Jan 27 14:03:00 CST 2021","Wed Jan 27 14:03:00 CST 2021","57","test","test_api","","","","get请求查询用户数据列表",""
"failed","Wed Jan 27 14:03:00 CST 2021","Wed Jan 27 14:03:01 CST 2021","46","test","test_api","","","","调试运算新功能,从path需要运算",""
